#Date: 2023-11-07 05:51:37
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status time-taken
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/amd/crtrxjs.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/amd/performancecountermanager.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 3
2023-11-07 05:51:41 ::1 GET /core/hash/requirejs/less-loader.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/requirejs/text.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/requirejs/less-parser.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 200 20
2023-11-07 05:51:41 ::1 GET /core/hash/requirejs/less-rtl.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/amd//loginModule.less v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/amd//base-fonts-rules.less - 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/amd//loginModule.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
2023-11-07 05:51:41 ::1 GET /core/hash/Terrasoft/amd/login-view-utils.js v=8.1.0.6704 5000 - ::1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/118.0.0.0+Safari/537.36 http://localhost:5000/Login/Login.html?ReturnUrl=%2FShell%2Findex.html%23IntroPage%2FSystemDesigner 304 1
